Temps	Déplacement	Force
103,4	1,7425	6,6835
103,5	1,7443	6,6887
103,6	1,746	6,6937
103,7	1,7477	6,6965
103,8	1,7494	6,6998
103,9	1,751	6,7029
104	1,7526	6,7061
104,1	1,7542	6,7093
104,2	1,756	6,714
104,3	1,7577	6,7176
104,4	1,7594	6,7215
104,5	1,761	6,725
104,6	1,7626	6,7283
104,7	1,7642	6,7319
104,8	1,766	6,7376
104,9	1,7677	6,7414
105	1,7694	6,7449
105,1	1,771	6,7483
105,2	1,7726	6,7515
105,3	1,7742	6,7543
105,4	1,7759	6,7596
105,5	1,7777	6,7649
105,6	1,7794	6,7682
105,7	1,781	6,7701
105,8	1,7827	6,773
105,9	1,7842	6,774
106	1,7859	6,7754
106,1	1,7876	6,7777
106,2	1,7893	6,7795
106,3	1,791	6,7817
106,4	1,7926	6,7838
106,5	1,7943	6,7872
106,6	1,7959	6,7893
106,7	1,7976	6,7918
106,8	1,7993	6,7954
106,9	1,801	6,7986
107	1,8027	6,8014
107,1	1,8044	6,8046
107,2	1,8059	6,8041
107,3	1,8075	6,8057
107,4	1,8093	6,8091
107,5	1,811	6,8123
107,6	1,8127	6,8148
107,7	1,8143	6,8161
107,8	1,8159	6,8175
107,9	1,8175	6,8178
108	1,8193	6,8206
108,1	1,821	6,8222
108,2	1,8227	6,8237
108,3	1,8243	6,8238
108,4	1,826	6,8216
108,5	1,8276	6,8163
108,6	1,8292	6,7956
108,682	1,8309	0,6164
